GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0041-00-000s-july-2016-meeting-presentation.pptx
Roger Marks,"""IEEE 802.16""",https://mentor.ieee.org/802.16/dcn/16/16-16-0040-00-Gdoc-ieee-802-16-status-report-session-104.pdf
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0039-00-Gcon-proposed-phy-layer-parameters-for-ieee-802-16s.docx
IEEE 802.16 Working Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0013-02-Gdoc-csd-amendment-for-fixed-and-mobile-wireless-access-in-channel-sizes-less-than-1-25-mhz.pdf
Roger B. Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/16/16-16-0038-00-000s-authorized-p802-16s-par.pdf
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0037-00-000s-evaluation-of-alternatives-for-1-mhz-channels.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0035-01-000s-call-for-contributions-project-802-16s.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0031-01-Gdoc-gridman-task-group-may-2016-meeting-presentation.pptx
Rodney D. Kaufman,"""First Energy) - submitted by Robert Finch (Select Spectrum/BPC Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0036-00-000s-requirements-contribution-802-16s.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0035-00-000s-call-for-contributions-project-802-16s.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0034-01-000s-p802-16s-system-requirements-document-srd.docx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/16/16-16-0022-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-103.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0034-00-000s-p802-16s-system-requirements-document-srd.docx
Robert Finch,"""Select Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0033-00-000s-draft-applications-submission-to-ieee-gridman-task-group.docx
WG Secretary,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0032-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-103.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0031-00-Gdoc-gridman-task-group-may-2016-meeting-presentation.pptx
Menashe Shahar,"""Full Spectrum), Guy Simpson (Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0030-00-Gcon-802-16s-amendment-outline.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0029-01-Gcon-802-16s-air-interface-considerations.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0029-00-Gcon-802-16s-air-interface-considerations.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0028-00-Gdoc-call-for-contributions-gridman-task-group-narrower-channel-operation.docx
Roger B. Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/16/16-16-0027-00-Gcon-comments-on-draft-minutes-of-session-102-802-16-16-0022-00.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0012-03-Gdoc-draft-par-amendment-for-fixed-and-mobile-wireless-access-in-channel-sizes-less-than-1-25-mhz.docx
Roger B. Marks,"""EthAirNet Associates; IEEE-SA""",https://mentor.ieee.org/802.16/dcn/16/16-16-0026-00-Gdoc-p802-16s-par-comments-and-responses.pdf
Roger B. Marks,"""EthAirNet Associates; IEEE-SA""",https://mentor.ieee.org/802.16/dcn/16/16-16-0025-00-Gdoc-ieee-802-16-working-group-proposal-for-p802-16s-par.pdf
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0024-00-Gdoc-gridman-task-group-closing-report-session-102.doc
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0023-00-Gcon-treasurer-report-march-2016.pptx
